iter	Passed	Remaining
205	18386	70869
206	18515	70929
207	18566	70696
208	18610	70435
209	18690	70312
210	18763	70163
211	18899	70249
212	19051	70391
213	19095	70137
214	19167	69982
215	19246	69856
216	19381	69935
217	19450	69771
218	19550	69719
219	19626	69586
220	19682	69377
221	19783	69329
222	19858	69191
223	19917	68999
224	20017	68950
225	20185	69131
226	20289	69092
227	20389	69037
228	20432	68791
229	20513	68675
230	20617	68636
231	20715	68575
232	20750	68308
233	20829	68184
234	20898	68031
235	21053	68157
236	21130	68026
237	21182	67820
238	21242	67637
239	21350	67609
240	21467	67610
241	21581	67596
242	21687	67561
243	21783	67491
244	21872	67402
245	21970	67341
246	22070	67282
247	22151	67168
248	22228	67042
249	22341	67025
250	22455	67007
251	22497	66778
252	22579	66666
253	22696	66659
254	22764	66507
255	22819	66320
256	22878	66143
257	22977	66081
258	23137	66197
259	23193	66011
260	23265	65875
261	23368	65822
262	23454	65727
263	23558	65677
264	23646	65584
265	23718	65448
266	23797	65332
267	23860	65170
268	23972	65144
269	24119	65211
270	24209	65125
271	24298	65033
272	24428	65053
273	24464	64822
274	24504	64602
275	24589	64504
276	24712	64503
277	24798	64404
278	24921	64403
279	24958	64177
280	25028	64041
281	25132	63989
282	25241	63951
283	25316	63825
284	25411	63750
285	25583	63869
286	25666	63764
287	25724	63597
288	25768	63396
289	25822	63219
290	25893	63087
291	25978	62989
292	26057	62877
293	26124	62735
294	26207	62630
295	26302	62557
296	26354	62380
297	26442	62291
298	26543	62231
299	26650	62184
300	26701	62008
301	26788	61915
302	26868	61805
303	26952	61706
304	27042	61622
305	27117	61500
306	27180	61354
307	27249	61222
308	27334	61126
309	27376	60935
310	27510	60946
311	27557	60767
312	27652	60694
313	27759	60647
314	27884	60637
315	27987	60581
316	28031	60396
317	28081	60225
318	28175	60148
319	28276	60088
320	28329	59923
321	28514	60039
322	28646	60043
323	28758	60003
324	28856	59933
325	29025	60008
326	29064	59817
327	29122	59666
328	29271	59699
329	29358	59607
330	29402	59427
331	29495	59346
332	29637	59364
333	29723	59269
334	29827	59209
335	29942	59172
336	30073	59164
337	30250	59248
338	30362	59202
339	30413	59038
340	30517	58976
341	30648	58967
342	30787	58971
343	30919	58963
344	31015	58883
345	31070	58727
346	31150	58620
347	31267	58581
348	31388	58549
349	31480	58464
350	31557	58350
351	31629	58227
352	31741	58177
353	31845	58113
354	31900	57959
355	31996	57881
356	32094	57805
357	32189	57725
358	32279	57636
359	32359	57527
360	32491	57513
361	32528	57329
362	32656	57306
363	32708	57150
364	32796	57056
365	32865	56930
366	32967	56861
367	33026	56718
368	33183	56745
369	33264	56638
370	33387	56605
371	33431	56437
372	33509	56327
373	33581	56208
374	33668	56114
375	33767	56039
376	33819	55888
377	33927	55828
378	33987	55689
379	34082	55607
380	34161	55501
381	34249	55409
382	34332	55308
383	34411	55201
384	34531	55160
385	34595	55029
386	34699	54963
387	34729	54780
388	34801	54662
389	34873	54545
390	34976	54476
391	35057	54374
392	35118	54241
393	35296	54288
394	35336	54123
395	35430	54040
396	35484	53897
397	35557	53783
398	35652	53701
399	35788	53682
400	35890	53611
401	36004	53558
402	36075	53441
403	36167	53356
